questions,answers
Teacher   career   question, Hi!   You are asking a very interesting question.  I am giving you two sites that will give you some of an explanation that may answer your question.   http://mathforum.org/dr.math/faq/faq.why.math.html   http://www.mathworksheetscenter.com/mathtips/mathissoimportant.html   Let me know if this helps 
I want to become an army officer. What can I do to become an army officer?," Hi. I joined the Army after I attended college and received a Bachelor is Degree in Criminal Justice.  Commissioned officers enter the Military with a four year degree or receive officer training after joining and complete a tour. You can prepare yourself by taking Reserve Officer Training Corps (ROTC) while in high school or a university. You can also attend Officer Candidate School (OCS) after graduating from college or become commissioned by earning a professional degree. If you decide to earn a degree, think about what you would like to do while in the military.  The experience in the military was very rewarding. I wish you well and much success in your future.  "
I want to become an army officer. What can I do to become an army officer?," Dear Priyanka,  Greetings! I have answered this question to Eshwari few days ago. I am going to reproduce that answer with bit of modifications as required for better clarity.      From your background, I could make out that you are from Bangalore and a student of 10th standard but your location is Rhode Island, USA. So I am not very clear as to which Army you wish to join ? Is it the US Army or the Indian Army? It is important to know that very few foreign nationals can join Indian Army (like Nepali citizens etc.). So you have to ascertain for yourself as to which citizenship you hold and accordingly you can join armed forces of the respective countries. Both are highly professional armies and respected a lot. I shall answer the modalities about the Indian Army, assuming that is the natural choice.     So, to answer your query, there are following options for you to become army officer:    Do your B.Sc  and that will be good as you have wider choices including flying branches in air force and executive branches in Navy. Similarly BA/B.Com if you are not looking for flying or executive branches.     Should you wish to be doctor in Army then you can appear for entrance Test for AFMC, Pune or Army Dental College after class 12th with PCMB. However, you can do the same by attending Medical colleges from civil institutes in India/abroad.     You can also join Military Nursing Services after B.Sc or Diploma in Nursing but majority of them are trained within army organisations (after 12th only  with PCMB).    You can join after doing your graduation in Engineering (Civil, Mech, Electrical, Electronics or Computer Sciences) or Masters in Physics with Electronics or Computers for engineering branches.  You can also join in Education Corps by doing M.Sc/MA/M.Com with or without B.Ed or in Legal services by doing your Law Degree.       After your basic education, application and selection test processes, one has to clear SSB (Services Selection Board) which is a very stringent 5 days test (compulsory for all including Women officers except medical professionals). It is one of the best methods of test I know to assess the suitability for military services (as officers), a proven method of testing of one is psyche, leadership qualities which takes  all the aspects of your personality into account and decide.  Although, success rate is pretty low but do not get disheartened and demotivated. Key to success in SSB is a sound mind with sound body, positive attitude and basic IQ.  If I could do with an average IQ and humble  educational backgrounds, why not you?  There were many friends (within my batch) of whom we thought that they will never make it to the SSB but they did qualify and now serving as  Major General.   Please refer the links given below and you can find scores of material to read about SSB on the net or through books.  All the Very Best! Jai Hind! &lt;h1&gt; &lt;/h1&gt;   "
Will going abroad for your first job increase your chances for jobs back home?," I work for a global company who values highly international experience.  In fact, that is a key experience we look for in candidates.  Therefore, I would say it would be wise to take advantage of the teaching opportunity - even if only for a year or 2.  You never know where it might lead and you will certainly have an edge on your return if you then look for employment in a global company. "
"To become a specialist in business  management, will I have to network myself?","I agree with Denise. Every single job I have had since my first internship in college, I have found through connections. I have also been surprised that in some cases, connections that I least expected were crucial in helping me find new opportunities. For example, I am about to start a new role that in a lot of ways, is my dream job. A few months ago, I connected with someone that used to be on my team at a different company. We only worked on the same team for about 2 months, and 5 years later, ended up working at another tech company in Seattle. He ended up being the hiring manager for this new role, and after passing the other interviews, I got the job.   I would say the most important thing when starting your career is to define what you want your brand to be, and what you want to be known for. This will help give you guidance on what activities and events to prioritize, books to read, etc.   It is also essential to be mindful of the impression you leave with others. While networking is essential to building your career, it is important that it is also backed up by a reputation you feel proud about.   As a student, I remember this feeling like an incredibly daunting task. It made it easier for me to find a group I could relate to. I joined ALPFA, an association for Latino Professionals that work across various business disciplines. I would recommend finding an organization that speaks to you, and begin practicing your networking skills there."
"To become a specialist in business  management, will I have to network myself?","Networking is a key component to progressing your career.  I have worked for several high tech organizations over many years and each job I was offered was because I knew someone who worked at the company who knew my skills and was able to advocate for me to get the job.  Without my professional and personal networks, it would have been much harder to get job offers and I may not have been as successful in my career.     Depending on the type of business/industry you would like to be in, you may have to start out as a team member or team contributor to grow your expertise in the business, possibly around a particular business function like operations, finance,  sales, etc.   As you become more knowledgeable and show your strengths in conducting your day to day work,  you will have a good chance to become a manager or leader of a team.   I do encourage you to take every networking opportunity that comes your way - join professional organizations, maybe your company or school offers networking activities you can join, and stay close to your social networks, you never know when a friend will help you find your next career move! "
Are there any scholarships out there for students that are first generation and live in GA?,https://www.unigo.com/  Check out this website! It allows you to search scholarships based on who you are and what you are interested in.  It even filters what state they are available in.
Are there any scholarships out there for students that are first generation and live in GA?," Hi Jocelyn ,     May I recommend Fastweb.com! It’s a Free search engine that personalizes  your searches.  I also used it.      Or actively search for local orginzations in your town for scholarships! "
How many years of coege do you need to be an engineer, For the typical schedule it takes four years to receive a bachelor is degree in engineering.  I took five years because I wanted to intern and gain experience along the way. 
"I want to become a doctor because of my great interest in science and helping people, but can I major in something that is not science oriented?","Of course! I know someone who doubled in classical languages and music performance. She is now an OB/GYN. I believe she needed to go back and complete some pre-med credits post-graduation, but it is certainly possible."
